sli_no,paid_amt,order_no,price_type_desc,price_type_short_desc,sli_status_desc,perf_dt,order_dt,price_type_category_desc,price_type_category_short_desc,perf_desc,prod_desc,perf_type_desc,season_desc,season_fy,mos_desc,site_code,gl_account_no
711,0,472741,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
712,0,472741,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
713,0,472741,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
714,0,472741,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
729,6,472745,Child (5-17),Child 5-17,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
730,6,472745,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
731,6,472745,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
751,6,472755,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
752,6,472755,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
753,6,472755,Child (Under 5),Ch Under 5,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
757,6,472759,Child (5-17),Child 5-17,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
758,6,472759,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
759,6,472759,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
